ATML,20131014,0.5482,0.5501,0.5492,70,10,21133,4197
ATNI,20131014,0.3964,0.4481,0.4223,0,0,30,57
ATO,20131014,0.334,0.3854,0.3597,0,0,218,275
ATPAQ,20131014,0,0,0,0,0,16066,7788
ATR,20131014,0.2369,0.3073,0.2721,0,0,217,54
ATRC,20131014,0.8402,1.5767,1.2084,0,0,10,20
ATRO,20131014,1.1175,1.1791,1.1483,0,0,443,30
ATRS,20131014,1.0035,1.0399,1.0217,9489,2717,38707,4358
ATSG,20131014,0,0,0,0,0,891,20
ATU,20131014,0.278,0.3988,0.3384,1,0,347,78
ATVI,20131014,0.3573,0.3574,0.3573,20198,2211,130203,46991
ATW,20131014,0.2992,0.3315,0.3153,21,1,2559,2331
AU,20131014,0.5853,0.6101,0.5977,465,259,90734,93192
AUDC,20131014,0.7812,0.8972,0.8392,41,0,2162,216
AUM,20131014,0.0879,0.0965,0.0922,0,0,210,1474
AUMN,20131014,0,0,0,335,161,7556,2916
AUO,20131014,1.2382,1.0534,1.1458,0,40,1068,129
AUQ,20131014,0.8827,0.867,0.8748,331,51,18180,9054
AUX,20131014,0.0995,0.0857,0.0926,5,0,2,507
AUXL,20131014,0.5299,0.5865,0.5582,36,31,17753,13317
AUY,20131014,0.5091,0.5224,0.5157,2803,1552,217946,74533
AVA,20131014,1.5774,0.9623,1.2699,0,0,270,444
AVAV,20131014,0.3563,0.4015,0.3789,34,0,2537,924
AVB,20131014,0.2178,0.2108,0.2143,671,45,8241,4266
AVD,20131014,0.4567,0.491,0.4738,0,80,2238,5853
AVEO,20131014,0,0,0,0,0,5508,4251
AVG,20131014,0.6009,0.6069,0.6039,578,93,8203,12002
AVGO,20131014,0.2836,0.2923,0.288,492,188,12618,7282
AVHI,20131014,0.5079,0.5049,0.5064,0,0,55,10
AVID,20131014,0.811,0.8579,0.8344,0,0,526,352
AVIV,20131014,0.4183,0.4364,0.4273,18,45,648,1014
AVL,20131014,0,0,0,0,0,3885,523
AVNR,20131014,1.1062,1.1483,1.1273,671,1898,40075,25895
AVNW,20131014,0,0,0,0,0,28,2
AVP,20131014,0.3594,0.4007,0.38,2115,344,36696,59780
AVT,20131014,0.3077,0.3231,0.3154,277,16,5611,1935
AVX,20131014,3.308,3.649,3.4785,0,0,134,32
AVY,20131014,0.3394,0.3838,0.3616,56,0,3275,1492
AWAY,20131014,0.5968,0.6022,0.5995,301,102,27620,7909
AWC,20131014,1.5772,2.3047,1.9409,0,0,208,66
AWH,20131014,0.1972,0.2258,0.2115,0,10,455,382
AWI,20131014,0.3338,0.4147,0.3742,10,0,350,290
AWK,20131014,0.2262,0.3224,0.2743,172,45,1290,738
AWR,20131014,0.0582,0.0624,0.0603,0,4,1209,1092
AWRE,20131014,1.1043,1.1966,1.1504,4,0,1298,65
AXAS,20131014,0.964,1.2252,1.0946,295,7,16639,461
AXDX,20131014,0.8873,0.9243,0.9058,15,0,514,258
AXE,20131014,0.3072,0.2963,0.3018,1,20,2669,1512
AXL,20131014,0.4277,0.4475,0.4376,538,24,31893,11430
AXLL,20131014,0.3962,0.4178,0.407,30,29,12741,15019
AXP,20131014,0.2228,0.2189,0.2208,2339,2855,92640,126671
AXS,20131014,0.2079,0.2864,0.2471,3,0,376,254
AXTI,20131014,0,0,0,0,0,389,16
AXU,20131014,0,0,0,0,4,9187,996
AYI,20131014,0.284,0.4416,0.3628,58,0,853,1329
AYR,20131014,0.3051,0.3231,0.3141,52,27,3457,1407
AZC,20131014,0,0,0,0,0,857,0
AZN,20131014,0.1864,0.1953,0.1908,328,28,35805,13776
AZO,20131014,0.1919,0.1894,0.1906,617,549,12858,13066
AZPN,20131014,0.3829,0.4093,0.3961,30,1,486,154
AZZ,20131014,0.2973,0.4054,0.3513,26,0,1085,1184
B,20131014,0.3215,0.3796,0.3506,0,0,1100,146
BA,20131014,0.2446,0.2652,0.2549,7469,7329,252030,196330
BAA,20131014,0,0,0,0,0,268,15
BABY,20131014,0.5089,0.5973,0.5531,0,0,148,414
BAC,20131014,0.2625,0.2651,0.2638,141944,77762,4334589,3474150
BAH,20131014,1.0286,0.8314,0.93,0,5,8717,169
BAK,20131014,0.4544,0.4932,0.4738,76,0,1181,115
BAL,20131014,0.2465,0.2693,0.2579,6,0,307,171
BALT,20131014,0.8116,0.8135,0.8126,68,23,5470,890
BAM,20131014,0.2306,0.3833,0.307,115,10,2470,1807
BANR,20131014,0.4863,0.5087,0.4975,0,0,378,158
BAP,20131014,0.3379,0.3092,0.3235,2,1,592,198
BAS,20131014,0.5168,0.558,0.5374,24,2,4722,6586
BAX,20131014,0.2147,0.2156,0.2152,2802,887,91600,68643
BAXS,20131014,0,0,0,0,0,83,0
BBBY,20131014,0.2146,0.2164,0.2155,514,258,42120,42154
BBCN,20131014,3.439,3.477,3.458,0,0,4,21
BBD,20131014,0.2921,0.3047,0.2984,659,9,46656,145644
BBEP,20131014,0.2923,0.4479,0.3701,585,72,15315,17409
BBG,20131014,0.4491,0.5229,0.486,61,31,6706,8332
BBH,20131014,0.3105,0.314,0.3122,9,45,1022,535
BBL,20131014,0.3125,0.3813,0.3469,26,3,684,1074
BBOX,20131014,0.6287,0.8409,0.7348,0,0,48,19
BBRG,20131014,0.4065,0.6591,0.5328,0,0,101,146
BBRY,20131014,0.541,0.5739,0.5575,16524,10004,1114057,980604
BBT,20131014,0.1961,0.2435,0.2198,939,332,69076,54557
BBVA,20131014,0.3845,0.4503,0.4174,288,729,13347,16314
BBW,20131014,0.7126,0.8047,0.7587,0,0,131,932
BBX,20131014,0.4784,0.8572,0.6678,2,0,329,496
BBY,20131014,0.4116,0.4112,0.4114,25273,5875,126152,177744
BC,20131014,0.4005,0.4221,0.4113,174,171,2336,1113
BCC,20131014,0.4745,0.582,0.5282,0,0,869,1927
BCE,20131014,0.2004,0.241,0.2207,29,81,6493,3360
BCEI,20131014,0.4834,0.5098,0.4966,10,10,1612,2163
BCO,20131014,0.3429,0.4422,0.3925,18,0,467,485
BCOR,20131014,0.5026,0.533,0.5178,8,3,4831,3964
BCOV,20131014,0.692,0.7879,0.7399,182,75,2070,1061
BCPC,20131014,0.3961,0.4164,0.4063,20,0,682,344
BCR,20131014,0.2405,0.2591,0.2498,535,233,5482,5051
BCRX,20131014,0.8725,0.8896,0.8811,440,20,14494,7161
BCS,20131014,0.314,0.3442,0.3291,262,79,43413,85086
